Loan_Amount_Requested,Length_Employed,Home_Owner,Annual_Income,Income_Verified,Purpose_Of_Loan,Debt_To_Income,Inquiries_Last_6Mo,Months_Since_Deliquency,Total_Accounts,Gender,Interest_Rate
5050,1,0,33280,2,1,14.86,1,0,32,1,0
18000,1,0,40000,0,2,18.6,0,0,31,1,0
8000,6,4,70000,1,2,22.25,0,0,32,1,0
16000,1,0,50000,2,2,23.19,0,77,30,1,1
10600,10,4,50000,1,2,7.49,0,0,17,1,1
5600,2,4,40000,0,9,10.32,3,72,5,0,2
12000,9,4,50000,1,1,21.53,0,27,27,1,0
35000,1,0,0,0,1,21.67,1,0,29,1,2
27500,1,0,90000,1,2,31.87,0,13,45,1,2
10000,7,5,35000,1,2,25.94,2,10,17,1,1
17375,1,3,80000,1,2,18.75,1,0,25,1,2
17000,1,4,50000,0,2,6.05,0,0,15,1,1
35000,1,4,110000,0,2,8.47,0,4,38,1,2
10750,2,5,0,1,2,7.58,1,30,13,1,2
10000,1,0,95000,2,2,2.53,2,0,8,1,2
3000,2,4,55000,0,8,22.6,1,6,18,0,2
15000,10,4,88000,1,1,5.44,1,54,15,0,0
35000,8,0,0,0,1,20.06,0,0,19,1,0
16000,1,0,100000,1,2,19.56,0,63,33,1,1
6000,1,4,36000,2,2,8.57,0,59,18,1,0
8450,1,4,35000,2,2,15.43,0,5,21,1,2
28000,1,0,115000,0,4,10.73,1,36,39,0,2
10000,11,4,35000,0,2,29.05,1,0,18,0,1
15000,1,0,68000,0,1,19.61,0,12,50,1,0
20000,3,0,59000,1,5,15.97,0,70,13,1,2
8575,4,0,25000,0,2,12.19,0,0,20,1,2
7500,10,4,61000,2,2,15.56,1,0,30,1,0
10000,2,4,80000,2,2,1.53,3,0,7,0,0
15650,1,0,50000,1,2,19.64,1,0,32,1,2
13000,3,4,0,2,2,22.68,0,0,9,1,1
32000,1,0,110000,0,1,12.75,1,21,25,1,2
17100,11,0,38000,0,2,13.23,3,0,19,1,0
14000,11,0,55000,0,2,21.91,4,20,24,0,1
12000,1,5,0,0,2,10.37,1,27,17,1,2
11950,1,4,0,0,2,26.87,0,15,27,1,2
15000,9,0,150000,2,1,2.74,0,31,8,1,0
6000,9,4,58000,2,2,8.07,1,0,15,1,2
20000,7,4,85000,0,2,15.22,0,19,32,1,0
35000,1,5,200000,0,2,8.09,0,0,24,0,0
6000,6,3,0,0,2,21.45,1,74,25,1,2
9400,5,4,27000,2,2,26.58,1,66,26,0,1
5000,2,5,50400,2,9,2.02,0,0,8,1,0
9000,5,4,88000,1,11,12.78,0,0,12,1,1
1000,0,4,35271.38,2,9,14.22,0,0,18,1,2
28650,1,4,140000,1,2,30.07,0,0,47,1,1
18000,9,4,0,1,1,18.04,0,0,19,1,0
8000,1,3,119000,2,1,20.94,2,0,33,1,0
8000,10,4,36000,2,2,10.77,0,73,15,1,1
33575,1,0,0,0,2,17.44,1,0,19,0,2
10750,0,4,0,0,2,28.51,0,0,39,0,2
15000,1,0,130000,0,2,6.45,1,0,29,0,0
14000,2,0,51000,0,2,17.34,2,39,37,1,1
9600,8,4,39000,0,2,9.82,1,0,22,1,1
7450,1,4,60000,0,2,23.13,0,0,23,1,1
24500,1,0,98000,1,2,22,1,8,54,0,2
1300,4,4,0,2,1,5.18,0,69,9,1,1
24000,8,0,66000,2,2,24.34,1,0,34,0,0
17000,1,4,48000,0,1,22.76,1,0,26,1,1
24925,1,0,0,0,1,23.2,0,0,23,1,2
17000,1,0,81281,0,1,10.35,1,0,18,0,1
18000,10,3,50000,0,2,12.65,1,0,27,1,0
18700,10,0,52000,1,2,27.65,2,48,58,1,2
16000,9,0,0,2,2,9.37,1,32,28,1,1
6000,1,5,40000,0,9,18.18,1,0,11,1,2
28000,1,0,107000,1,2,10.33,0,6,28,1,1
19800,1,5,55000,1,2,29.22,1,34,40,1,2
14825,1,0,71136,0,2,23.55,0,0,22,0,1
35000,1,5,96400,0,2,19.69,4,0,38,0,2
19475,1,4,48697,1,2,27.99,1,0,20,0,2
7800,2,4,80000,2,1,21.95,1,0,31,1,0
30000,2,0,170000,0,4,1.75,0,21,15,1,1
18000,8,4,50000,0,1,22.08,3,0,15,0,2
28000,1,0,120000,2,1,26.07,1,0,55,0,0
11500,2,0,105000,0,1,12.14,3,0,22,1,2
12000,1,4,40000,2,1,22.5,1,19,19,0,1
30000,4,0,71000,1,1,17.06,0,0,39,1,1
12000,1,0,54000,2,2,21.64,3,0,24,0,1
20000,10,0,86000,1,1,13.22,0,0,12,1,0
10000,10,4,52000,0,9,7.45,0,0,10,1,2
20425,6,3,0,1,2,20.16,3,0,26,0,2
10000,3,4,36000,2,1,17.07,1,0,15,1,2
5000,2,4,45000,2,4,6.99,1,0,14,0,0
20000,2,4,90000,2,2,7.92,2,0,15,1,1
15000,10,0,72800,0,2,14,0,74,28,1,0
24000,1,4,110000,1,2,23.43,0,0,19,1,2
6250,6,4,31000,2,1,21.17,0,0,14,1,1
12000,1,4,0,1,2,17.85,0,7,22,1,2
16000,5,4,76000,0,1,15.32,0,0,24,0,2
4000,10,0,72500,2,4,22.23,0,52,23,0,1
10000,2,3,240000,0,4,21.74,0,4,27,1,2
8500,1,4,25000,2,1,19.58,1,41,11,1,1
32000,1,0,138850,1,2,25.17,0,0,56,1,2
